업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,키워드
용역,20240118830-00,일반,[학술] 바이오빅데이터 활용 확산을 위한 보건의료연구정보 가명 처리 기준 연구,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/18 19:35,(2024/02/07 10:00),데이터
용역,20240119475-00,일반,[학술] 감염병 임상연구데이터 수집·공유·활용 관리 통합 플랫폼 전략 수립,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/18 19:16,(2024/01/30 10:00),데이터
용역,20240118958-00,일반,[학술] 바이오빅데이터 활용을 위한 대용량 보건의료연구정보 압축기술 연구,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/18 17:58,(2024/02/07 10:00),데이터
용역,20240118665-00,일반,한국표준시 데이터 생성 및 품질관리 용역,해양수산부 국립해양측위정보원,해양수산부 국립해양측위정보원,수의(총액)일반수의,2024/01/18 17:49,(2024/01/19 10:30),데이터
용역,20240119231-00,일반,[학술] 보건의료빅데이터 분석을 통한 노인 당뇨병 세부 특성 연구,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/18 17:37,(2024/01/30 10:00),데이터
용역,20240118810-00,일반,[학술] 바이오빅데이터 활용활성화를 위한 국제표준 수준의 코호트 통합 매핑 DB 구축,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/18 17:33,(2024/02/07 10:00),데이터
용역,20240118755-00,일반,[학술] 바이오 빅데이터 활용 기술 개발을 위한 기술 성숙도 조사 및 전략 기획,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/18 17:30,(2024/01/30 10:00),데이터
용역,E012400527-00,일반,호명 금능 832 KT데이터센터 일반용(을)고압A 10MW 신설 공사 감리용역,한국전력공사,경영지원부,제한(총액),2024/01/18 14:25,(2024/01/29 14:00),데이터
용역,20240118591-00,긴급,기록관리시스템 BPR/ISP 및 데이터 표준화 방안 수립,국방과학연구소,국방과학연구소,제한(총액)협상에의한계약,2024/01/18 14:19,(2024/02/08 10:00),데이터
용역,20240118574-00,일반,「IBK하남데이터센터 데이터 백업용 통신회선(하남-목동DR)」 공급 사업자 선정,중소기업은행,중소기업은행,제한(총액),2024/01/18 14:15,(2024/01/29 10:00),데이터
용역,20240117034-00,긴급,AI 디지털교과서 도입과 연계한 학습데이터 활용 체계 구축,조달청 대구지방조달청,한국교육학술정보원,일반(총액)협상에의한계약,2024/01/18 14:09,(2024/02/21 11:00),데이터
용역,20240118254-01,변경,「IBK하남데이터센터 데이터 백업용 통신회선(하남-수지)」 공급 사업자 선정,중소기업은행,중소기업은행,제한(총액),2024/01/18 13:48,(2024/01/29 10:00),데이터
용역,20240115964-00,일반,조선특화 물체(Object) 학습용 데이터셋 구축,울산대학교,울산대학교,일반(총액),2024/01/16 18:49,(2024/01/24 11:00),데이터
용역,P2024016-01,일반,산업데이터 서비스 통합 기반 설계 용역,한전KDN(주),한전KDN(주),수의(총액),2024/01/16 18:41,(2024/01/17 13:00),데이터
용역,20240115084-00,일반,2024년 빅데이터 분석서비스 이용,경상남도 거제시,경상남도 거제시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/01/16 14:24,(2024/01/22 10:00),데이터
용역,20240119681-00,일반,국내 AI 인공지능 반토체 생태계 조사,정보통신정책연구원,정보통신정책연구원,일반(총액)협상에의한계약,2024/01/19 09:05,(-),AI
용역,20240119212-00,일반,2024년 AI-IoT기반 어르신건강관리사업 화면형 AI스피커 임차(북구보건소),경상북도 포항시,경상북도 포항시 북구보건소,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/01/18 17:50,(2024/01/25 10:00),AI
용역,20240119224-00,일반,2024년 AI-IoT기반 어르신건강관리사업 화면형 AI스피커 임차(남구보건소),경상북도 포항시,경상북도 포항시 남구보건소,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/01/18 17:48,(2024/01/25 10:00),AI
용역,20240117034-00,긴급,AI 디지털교과서 도입과 연계한 학습데이터 활용 체계 구축,조달청 대구지방조달청,한국교육학술정보원,일반(총액)협상에의한계약,2024/01/18 14:09,(2024/02/21 11:00),AI
용역,20240116630-00,일반,[학술] AI 분석을 통한 SFTS 및 출혈열 바이러스 항바이러스 후보 물질 발굴 기반 연구,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/17 16:48,(2024/02/26 10:00),AI
용역,20240116494-00,일반,AI 효율적 적용 및 활용을 위한 국방획득체계 발전방안,조달청 서울지방조달청,국방부,제한(총액)협상에의한계약,2024/01/17 14:30,(2024/01/30 10:00),AI
용역,20240109876-01,취소,AI 효율적 적용 및 활용을 위한 국방획득체계 발전방안,조달청 서울지방조달청,국방부,제한(총액)협상에의한계약,2024/01/17 11:05,(2024/01/25 10:00),AI
용역,20240115604-00,일반,2024년 AI기반 특허행정혁신 사업,특허청,특허청,수의(총액),2024/01/16 16:18,(2024/01/16 18:00),AI
용역,20240112740-00,일반,「(가칭)서울특별시교육청 AI융합진로직업교육원 건립 사업」 세부 추진 계획 수립 용역,서울특별시교육청,서울특별시교육청,제한(총액)협상에의한계약,2024/01/16 10:34,(2024/01/30 11:00),AI
