업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,202402644-00,일반,AI 및 데이터 융합 기반 신축이음장치 모니터링 기술 개발 연구용역,한국도로공사,한국도로공사도로교통연구원,일반(총액),2024/03/19 00:00,(2024/04/29 11:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240333520&bidseq=00,AI
용역,20240328722-00,일반,금강권역 AI 홍수예보 기준설정 및 홍수대응체계 연구,환경부 금강홍수통제소,환경부 금강홍수통제소,일반(총액)협상에의한계약,2024/03/18 17:27,(2024/03/29 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240328722&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240327775-00,긴급,(기록관리과) 대통령기록물 분류·기술·평가 업무 AI 적용방안 연구,조달청 대전지방조달청,행정안전부 대통령기록관,제한(총액)협상에의한계약,2024/03/18 16:34,(2024/03/29 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240327775&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,P2024147-01,일반,2024년 파일전송 솔루션(AIOTION) 유지보수,한전KDN(주),한전KDN(주),수의(총액),2024/03/18 14:57,(2024/03/18 18:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240333174&bidseq=01,AI
용역,20240326605-00,긴급,AI 맞춤형 교수학습 플랫폼 1차 구축 사업관리 전문지원,조달청 대구지방조달청,한국지능정보사회진흥원,일반(총액)협상에의한계약,2024/03/18 13:21,(2024/04/12 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240326605&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,20240326542-00,긴급,스마트시티 AIoT 상호운용성 시험기 개발 용역,한국정보통신기술협회,한국정보통신기술협회,일반(총액)협상에의한계약,2024/03/18 09:44,(2024/03/29 18:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240326542&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240326031-00,일반,"[정책,109] AI 활용 스마트 감염병 감시체계 시범 연구",질병관리청,질병관리청,제한(총액)협상에의한계약,2024/03/18 09:31,(2024/04/29 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240326031&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240314478-00,일반,2024년 북부보건센터 AI·IoT기반 어르신건강관리 스피커 임차 용역,경기도 김포시,경기도 김포시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/03/18 09:25,(2024/03/22 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240314478&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240325183-00,긴급,경기 생성형 AI 데이터플랫폼 사전 컨설팅 용역,경기도,경기도,제한(총액)협상에의한계약,2024/03/15 15:49,(2024/03/28 17:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240325183&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240323734-00,일반,"한림대학교 K-고등교육모델, AI교육 솔루션 발표자료 및 PoC 제작·시연 용역 업체 선정",한림대학교,한림대학교,일반(총액)협상에의한계약,2024/03/15 09:23,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240323734&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240311947-00,일반,재판업무 지원을 위한 AI모델 개발 ISP,조달청 서울지방조달청,대법원,일반(총액)협상에의한계약,2024/03/15 08:25,(2024/04/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240311947&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,20240329314-00,일반,2024년 인공지능 개발플랫폼 시스템 유지보수 용역,재단법인충북테크노파크,재단법인충북테크노파크,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/03/18 21:34,(2024/03/22 17:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240329314&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
용역,20240328260-01,변경,수산생물질병 인공지능 학습모델 개발 및 시범서비스 고도화 연구,해양수산부 국립수산과학원,해양수산부 국립수산과학원,수의(총액),2024/03/18 16:02,(2024/03/19 17:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240328260&bidseq=01&releaseYn=Y&taskClCd=5,인공지능
용역,20240323660-00,일반,위성자료를 이용한 인공지능 모의자료 생성 및 예측기술 개발,조달청,기상청 국가기상위성센터,수의(총액),2024/03/15 12:32,(2024/03/20 15:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240323660&bidseq=00&releaseYn=Y&taskClCd=1,인공지능
