No.,등록번호,참조번호,품명(사업명),수요기관,사전규격공개일시,업체등록의견수,키워드
1,1389238,산림빅데이터팀-158,2024년 산림공공데이터 개발 활성화 및 역량강화 사업,산림청,2024/01/16 10:01,0,데이터
2,1389190,운영지원과-209,[학술] 임신성 당뇨병 환자의 예후 추적 연구 기반 마이크로바이옴 변화 데이터 구축,질병관리청 국립보건연구원,2024/01/16 09:26,0,데이터
3,1389181,운영지원과-209,[학술] 코호트 기반 건강노화 연구를 위한 한국인 장내 마이크로바이옴 데이터 구축,질병관리청 국립보건연구원,2024/01/16 09:21,0,데이터
4,1389175,운영지원과-209,[학술] 빅데이터 활용 및 통합을 위한 표준화 프로토콜 개발,질병관리청 국립보건연구원,2024/01/16 09:17,0,데이터
5,1389167,운영지원과-209,[학술] 질병관리청 조사자료 기반 대기오염에 의한 건강 영향 평가를 위한 대기오염 데이터 생산 및 연계자료 구축,질병관리청 국립보건연구원,2024/01/16 09:14,0,데이터
6,1389162,운영지원과-209,[학술] 국가검진자료-대기노출량 연계 빅데이터를 활용한 질병 발생영향 분석 및 연구용 Data 공개,질병관리청 국립보건연구원,2024/01/16 09:10,0,데이터
7,1389076,운영지원과-209,[학술] 비정형 의료 데이터 분석을 위한 인공지능 알고리즘 기술 개발,질병관리청 국립보건연구원,2024/01/15 20:42,0,데이터
8,1389071,운영지원과-209,"[학술] 헬스케어 데이터 전처리, 정제 프로세스 운영 및 데이터베이스 구축",질병관리청 국립보건연구원,2024/01/15 20:37,0,데이터
9,1389069,운영지원과-209,[학술] 미진단 희귀질환 진단기술 고도화를 위한 long-read 시퀀싱 데이터 생산,질병관리청 국립보건연구원,2024/01/15 20:36,0,데이터
10,1389055,운영지원과-209,[학술] 클라우드 기반 보건의료빅데이터 공유·활용 플랫폼 운영 및 서비스 전략 확립,질병관리청 국립보건연구원,2024/01/15 20:04,0,데이터
11,1389053,운영지원과-209,[학술] 보건의료연구자원정보센터 (CODA) 수집데이터 관리 및 공유·활용 체계 구축,질병관리청 국립보건연구원,2024/01/15 19:55,0,데이터
12,1388828,382430307200001,민간데이터 정제·적재 및 활용 사업,경상남도,2024/01/15 15:26,0,데이터
13,1388618,관세청 공고 제2024-04호,2024년 X-Ray 영상데이터 활용 통합플랫폼 사전기획 연구,관세청,2024/01/15 11:04,0,데이터
14,1388210,RE240006AD,기록관리시스템 BPR/ISP 및 데이터 표준화 방안 수립,국방과학연구소,2024/01/12 15:15,0,데이터
15,1388167,202401121400,「IBK하남데이터센터 데이터 백업용 통신회선(하남-수지)」 공급 사업자 선정,중소기업은행,2024/01/12 14:53,0,데이터
16,1388178,202401121500,「IBK하남데이터센터 데이터 백업용 통신회선(하남-목동DR)」 공급 사업자 선정,중소기업은행,2024/01/12 14:53,0,데이터
17,1388121,운영지원과-186,감염병 임상연구데이터 수집·공유·활용 관리 통합 플랫폼 전략 수립,질병관리청 국립보건연구원,2024/01/12 14:12,0,데이터
18,1388104,운영지원과-186,보건의료빅데이터 분석을 통한 노인 당뇨병 세부 특성 연구,질병관리청 국립보건연구원,2024/01/12 14:06,0,데이터
19,1388087,운영지원과-186,바이오빅데이터 활용을 위한 대용량 보건의료연구정보 압축기술 연구,질병관리청 국립보건연구원,2024/01/12 14:01,0,데이터
20,1388085,운영지원과-186,바이오빅데이터 활용 확산을 위한 보건의료연구정보 가명 처리 기준 연구,질병관리청 국립보건연구원,2024/01/12 14:01,0,데이터
21,1388083,운영지원과-186,바이오빅데이터 활용활성화를 위한 국제표준 수준의 코호트 통합 매핑 DB 구축,질병관리청 국립보건연구원,2024/01/12 14:00,0,데이터
22,1388081,운영지원과-186,바이오 빅데이터 활용 기술 개발을 위한 기술 성숙도 조사 및 전략 기획,질병관리청 국립보건연구원,2024/01/12 13:59,0,데이터
23,1388017,002460009400001,2024년 데이터기반 항공안전감독시스템 기능개선 및 유지보수,국토교통부,2024/01/12 13:18,1,데이터
24,1387879,252430361100001,2024년 데이터기반 항공안전감독시스템 감독기법 응용개발,국토교통부,2024/01/12 09:57,0,데이터
1,1388591,2024-공모-01,국내 AI 인공지능 반토체 생태계 조사,정보통신정책연구원,2024/01/15 10:35,0,AI
2,1388411,미래모빌리티과-499,2024년 드론 영상 AI분석 시스템 유지관리 용역,제주특별자치도,2024/01/12 18:05,0,AI
3,1388401,총무부-359,2024. 전남메타스쿨 AI 수학 프로그램 사용권 구매 및 설치 용역,전라남도교육청 전라남도교육청창의융합교육원,2024/01/12 17:59,0,AI
1,1389147,운영지원과-209,[학술] 생물정보학 및 인공지능 활용한 신속 백신 개발 기반 구축,질병관리청 국립보건연구원,2024/01/16 09:01,0,인공지능
2,1389078,운영지원과-209,[학술] 거대 언어 모델을 활용한 인공지능 기반 유전변이 분석 지원 알고리즘 개발,질병관리청 국립보건연구원,2024/01/15 20:43,0,인공지능
3,1389076,운영지원과-209,[학술] 비정형 의료 데이터 분석을 위한 인공지능 알고리즘 기술 개발,질병관리청 국립보건연구원,2024/01/15 20:42,0,인공지능
4,1389075,운영지원과-209,[학술] 시계열 멀티오믹스 통합분석 및 인공지능 활용 연구,질병관리청 국립보건연구원,2024/01/15 20:41,0,인공지능
5,1388591,2024-공모-01,국내 AI 인공지능 반토체 생태계 조사,정보통신정책연구원,2024/01/15 10:35,0,인공지능
1,1389134,운영지원과-209,"[학술] 의료기관 항생제 사용량 분석 및 환류시스템(KONAS) 확대 운영, 평가 및 시스템 개선 방안 마련",질병관리청 국립보건연구원,2024/01/16 08:54,0,NAS
